time,open,high,low,close,tick_volume,spread,real_volume
1588215600,1713.8,1714.26,1709.35,1711.88,11076,53,5538000
1588219200,1711.88,1712.29,1708.88,1711.6,13112,53,6556000
1588222800,1711.6,1713.18,1709.0,1710.69,12159,53,6079500
1588226400,1710.69,1712.96,1709.72,1712.49,11387,53,5693500
1588230000,1712.49,1713.28,1710.3,1711.73,10990,53,5495000
1588233600,1711.73,1716.12,1710.5,1715.29,16840,53,8420000
1588237200,1715.29,1719.94,1712.24,1717.47,23199,53,11599500
1588240800,1717.47,1721.91,1716.85,1717.43,48847,53,24423500
1588244400,1717.49,1718.58,1715.17,1716.73,39313,53,19656500
1588248000,1716.82,1719.69,1714.92,1715.51,35765,53,17882500
1588251600,1715.39,1716.02,1713.81,1715.58,30518,53,15259000
1588255200,1715.62,1717.42,1711.09,1716.3,47446,53,23723000
1588258800,1716.3,1716.33,1694.03,1706.47,52561,53,26280500
1588262400,1706.47,1706.77,1698.0,1702.84,36509,53,18254500
1588266000,1702.84,1707.81,1700.99,1705.57,40188,53,20094000
1588269600,1705.57,1708.71,1692.48,1693.39,38836,53,19418000
1588273200,1693.7,1696.41,1681.3,1687.67,49762,53,24881000
1588276800,1687.56,1691.49,1683.56,1683.85,42509,53,21254500
1588280400,1683.85,1688.2,1681.39,1684.75,31298,53,15649000
1588284000,1684.75,1690.65,1682.15,1686.55,35166,53,17583000
1588287600,1686.56,1688.12,1681.51,1685.75,11103,53,5551500
1588291200,1685.61,1705.59,1670.28,1700.09,548484,0,0
1588294800,1684.67,1689.29,1683.98,1688.5,6448,53,3224000
1588298400,1688.5,1689.01,1686.04,1687.98,7913,53,3956500
1588302000,1687.98,1688.78,1682.0,1687.45,14662,53,7331000
1588305600,1687.45,1688.24,1684.74,1687.33,11699,53,5849500
1588309200,1687.33,1690.33,1686.0,1689.32,9590,53,4795000
1588312800,1689.32,1689.77,1686.89,1687.76,6510,53,3255000
1588316400,1687.76,1688.78,1686.18,1687.33,5973,53,2986500
1588320000,1687.33,1687.51,1672.31,1672.34,22481,53,11240500
1588323600,1672.31,1677.31,1670.33,1676.31,22183,53,11091500
1588327200,1676.31,1678.06,1671.05,1672.17,54354,53,27177000
1588330800,1672.17,1677.56,1670.99,1672.32,51626,53,25813000
1588334400,1672.33,1677.0,1671.84,1674.41,52425,53,26212500
1588338000,1674.41,1680.92,1673.11,1677.16,56416,53,28208000
1588341600,1677.13,1685.52,1676.71,1680.02,54795,53,27397500
1588345200,1680.05,1682.45,1675.68,1680.17,51820,53,25910000
1588348800,1680.18,1688.51,1677.18,1685.35,56435,53,28217500
1588352400,1685.35,1690.08,1677.71,1688.31,45822,53,22911000
1588356000,1688.32,1698.1,1686.42,1695.76,32594,53,16297000
1588359600,1695.68,1699.8,1692.64,1697.6,24026,53,12013000
1588363200,1697.6,1699.18,1692.02,1697.52,22338,53,11169000
1588366800,1697.52,1704.01,1696.04,1702.8,22091,53,11045500
1588370400,1702.77,1705.59,1698.54,1699.18,26863,53,13431500
1588374000,1699.17,1700.63,1697.46,1700.09,4136,27,2068000
1588550400,1701.85,1713.34,1691.77,1700.3,318835,0,0
1588554000,1701.85,1702.14,1691.77,1693.06,7636,53,3818000
1588557600,1693.06,1699.47,1693.06,1699.3,7324,53,3662000
1588561200,1699.3,1699.63,1695.34,1695.67,7454,53,3727000
1588564800,1695.66,1700.06,1695.49,1698.53,8642,53,4321000
1588568400,1698.49,1699.36,1695.72,1697.2,8195,53,4097500
1588572000,1697.2,1701.37,1697.06,1700.31,5700,53,2850000
1588575600,1700.31,1700.5,1696.83,1698.1,4756,53,2378000
1588579200,1698.1,1700.72,1696.28,1698.85,7408,53,3704000
1588582800,1698.84,1706.07,1698.28,1705.07,12970,53,6485000
1588586400,1705.01,1707.08,1702.28,1703.88,14596,53,7298000
1588590000,1703.88,1706.58,1702.37,1704.93,10917,53,5458500
1588593600,1704.93,1708.25,1703.12,1707.1,9717,53,4858500
1588597200,1707.1,1713.32,1703.52,1704.36,13658,53,6829000
1588600800,1704.39,1709.24,1703.58,1706.79,12429,53,6214500
1588604400,1706.77,1709.36,1695.41,1701.1,22406,53,11203000
1588608000,1701.13,1710.16,1697.27,1705.5,31842,53,15921000
1588611600,1705.48,1709.93,1699.63,1701.6,37666,53,18833000
1588615200,1701.59,1708.58,1700.88,1707.98,30951,53,15475500
1588618800,1707.99,1708.01,1704.03,1706.16,22988,53,11494000
1588622400,1706.1,1708.32,1703.09,1708.07,19863,53,9931500
1588626000,1708.04,1708.41,1701.64,1708.05,18739,53,9369500
1588629600,1708.04,1708.17,1702.18,1703.88,17356,53,8678000
1588633200,1703.74,1704.05,1700.3,1700.3,3711,56,1855500
1588636800,1700.98,1712.15,1688.73,1704.97,319094,0,0
1588640400,1700.98,1702.47,1699.97,1701.89,3076,70,1538000
1588644000,1701.89,1703.69,1701.61,1703.59,2870,53,1435000
1588647600,1703.59,1703.64,1698.13,1698.88,5253,53,2626500
1588651200,1698.88,1700.59,1696.42,1699.88,6447,53,3223500
1588654800,1699.88,1699.92,1697.05,1697.6,5388,53,2694000
1588658400,1697.61,1698.89,1697.36,1698.23,4911,53,2455500
1588662000,1698.23,1699.11,1697.39,1698.91,4503,53,2251500
1588665600,1698.91,1703.88,1698.89,1703.73,5806,53,2903000
1588669200,1703.71,1704.22,1700.22,1700.31,8427,53,4213500
1588672800,1700.31,1700.34,1689.48,1698.33,18292,53,9146000
1588676400,1698.28,1707.89,1696.36,1699.67,19818,53,9909000
1588680000,1699.67,1700.18,1695.67,1697.86,14962,53,7481000
1588683600,1697.95,1700.59,1696.56,1698.1,10795,53,5397500
1588687200,1698.1,1699.36,1694.97,1695.15,9588,53,4794000
1588690800,1695.16,1700.01,1694.55,1695.75,18656,53,9328000
1588694400,1695.72,1705.36,1693.13,1697.34,32315,53,16157500
1588698000,1697.34,1699.93,1694.2,1697.22,34750,53,17375000
1588701600,1697.22,1702.39,1696.67,1701.61,35356,53,17678000
1588705200,1701.61,1703.27,1697.6,1702.48,25990,53,12995000
1588708800,1702.48,1705.67,1701.15,1705.21,19377,53,9688500
1588712400,1705.19,1709.54,1703.48,1707.85,22714,53,11357000
1588716000,1707.75,1712.13,1704.31,1710.51,25001,53,12500500
1588719600,1710.36,1710.37,1702.76,1702.76,5089,53,2544500
1588723200,1705.74,1707.97,1681.73,1684.73,318194,0,0
1588726800,1705.74,1706.14,1703.3,1705.32,5263,53,2631500
1588730400,1705.31,1706.35,1702.67,1703.6,3372,53,1686000
1588734000,1703.6,1704.19,1700.63,1701.72,6053,53,3026500
1588737600,1701.71,1707.54,1701.39,1704.39,12763,53,6381500
1588741200,1704.32,1704.66,1701.9,1702.75,6491,53,3245500
1588744800,1702.74,1702.78,1700.54,1702.39,5009,53,2504500
1588748400,1702.39,1703.52,1701.23,1702.92,3649,53,1824500
1588752000,1702.92,1704.19,1700.87,1704.02,6088,53,3044000
1588755600,1704.02,1705.69,1701.11,1704.92,16925,53,8462500
1588759200,1704.92,1707.86,1703.84,1706.31,16131,53,8065500
1588762800,1706.29,1707.87,1700.44,1703.7,19270,53,9635000
1588766400,1703.71,1704.06,1699.4,1700.68,14342,53,7171000
1588770000,1700.67,1702.78,1699.1,1701.58,13459,53,6729500
1588773600,1701.58,1702.43,1699.29,1701.75,9552,53,4776000
1588777200,1701.74,1705.17,1693.68,1696.84,26417,53,13208500
1588780800,1696.84,1697.94,1684.37,1696.4,36343,53,18171500
1588784400,1696.39,1696.41,1683.74,1689.13,33247,53,16623500
1588788000,1689.12,1690.21,1684.29,1689.1,29745,53,14872500
1588791600,1689.03,1689.03,1681.73,1686.37,24455,53,12227500
1588795200,1686.37,1687.6,1682.87,1684.96,18362,53,9181000
1588798800,1684.89,1690.59,1684.6,1688.16,18719,53,9359500
1588802400,1688.15,1690.81,1687.56,1688.8,22283,53,11141500
1588806000,1688.79,1689.25,1683.24,1684.08,5994,53,2997000
1588809600,1682.83,1722.05,1682.83,1715.39,325986,0,0
1588813200,1682.83,1688.99,1682.83,1687.7,7265,53,3632500
1588816800,1687.74,1690.13,1686.04,1689.56,6865,53,3432500
1588820400,1689.56,1693.85,1689.38,1692.58,9068,53,4534000
1588824000,1692.58,1692.97,1690.19,1690.53,7229,53,3614500
1588827600,1690.54,1692.46,1690.21,1691.71,4830,53,2415000
1588831200,1691.69,1693.55,1689.68,1691.72,4874,53,2437000
1588834800,1691.72,1692.65,1690.93,1691.71,4469,53,2234500
1588838400,1691.71,1692.61,1686.98,1687.81,7443,53,3721500
1588842000,1687.8,1688.24,1684.09,1686.36,15169,53,7584500
1588845600,1686.43,1690.65,1686.43,1688.87,19299,53,9649500
1588849200,1688.87,1693.45,1688.87,1691.3,12903,53,6451500
1588852800,1691.3,1695.98,1690.66,1693.35,17702,53,8851000
1588856400,1693.35,1695.74,1691.75,1693.61,14341,53,7170500
1588860000,1693.61,1696.7,1691.99,1695.69,14485,53,7242500
1588863600,1695.69,1699.29,1693.17,1697.85,20033,53,10016500
1588867200,1697.85,1699.15,1693.56,1697.57,27716,53,13858000
1588870800,1697.58,1700.78,1695.23,1696.16,31532,53,15766000
1588874400,1696.17,1710.57,1696.16,1708.77,37641,53,18820500
1588878000,1708.77,1716.25,1707.89,1715.48,32584,53,16292000
1588881600,1715.48,1720.43,1715.11,1719.85,29647,53,14823500
1588885200,1719.84,1722.05,1713.38,1719.18,25489,53,12744500
1588888800,1719.17,1720.85,1713.64,1715.49,20656,53,10328000
1588892400,1715.54,1719.13,1712.16,1712.16,5248,53,2624000
1588896000,1715.01,1723.5,1699.88,1703.13,374452,0,0
1588899600,1715.01,1716.69,1711.87,1714.11,5103,53,2551500
1588903200,1714.11,1715.13,1711.9,1714.07,5000,53,2500000
1588906800,1714.07,1716.54,1710.85,1714.37,8132,53,4066000
1588910400,1714.77,1720.71,1714.41,1716.44,12835,53,6417500
1588914000,1716.42,1719.66,1715.42,1716.35,6966,53,3483000
1588917600,1716.37,1717.08,1714.66,1715.5,4971,53,2485500
1588921200,1715.5,1715.94,1713.46,1715.39,4631,53,2315500
1588924800,1715.4,1718.85,1715.04,1716.27,7084,53,3542000
1588928400,1716.32,1720.14,1714.55,1717.0,15615,53,7807500
1588932000,1717.04,1719.95,1715.31,1719.61,27912,53,13956000
1588935600,1719.61,1721.46,1716.0,1719.67,26099,53,13049500
1588939200,1719.67,1723.5,1718.32,1721.6,25352,53,12676000
1588942800,1721.6,1722.32,1719.63,1719.78,20299,53,10149500
1588946400,1719.74,1721.04,1717.01,1718.47,22287,53,11143500
1588950000,1718.47,1722.64,1705.96,1711.77,45299,53,22649500
1588953600,1711.94,1720.48,1708.88,1717.35,30583,53,15291500
1588957200,1717.35,1721.48,1710.84,1715.34,38100,53,19050000
1588960800,1715.38,1717.7,1710.75,1715.25,30243,53,15121500
1588964400,1715.28,1715.85,1708.09,1709.97,23568,53,11784000
1588968000,1709.97,1711.23,1707.49,1708.96,20110,53,10055000
1588971600,1708.94,1709.2,1703.5,1704.65,21271,53,10635500
1588975200,1704.65,1707.1,1701.27,1706.85,19954,53,9977000
1588978800,1706.66,1706.97,1699.92,1703.13,4620,27,2310000
1589155200,1699.51,1711.98,1691.75,1696.95,343595,0,0
